Customer ID,Customer Age,Gender,Education,Marital Status,Income Category,Income Numeric,Snapshot Month,Month on Book,Credit_Limit,Utilization,FICO,external_bank_credit_card_max_util_greater_than_50,external_bank_credit_card_max_util_greater_than_90,Credit_Inquiries,Delinquency,Revolving_Bal,Total_Debt,Debt_to_Income_Ratio,Interchange Fee,Late_Fee_Revenue,Monthly_Interest_Revenue,Annual_Fee,Total Revenue,Delinquency_Weight,ECL Ratio,ECL,ECL MoM Charge,Profit,Cumulative Profit,MoM Cumulative Profit Change,
100872,21,M,High School,Single,$40k - $60k,46000,1/31/2023,1,6100,0.207793429,690,1,0,1,0,1068.252056,31407.50165,0.699042022,25.35079828,0,21.90806925,0,47.25886754,0.05,0.052361389,66.37015109,66.37015109,-19.11128355,-19.11128355,-19.11128355,
100872,21,M,High School,Single,$40k - $60k,46000,2/28/2023,2,6100,0.172420578,692,1,0,1,0,886.402607,30598.08215,0.613381245,21.03531049,0,18.17864013,0,39.21395063,0.05,0.051992746,54.68417764,-11.68597345,50.89992408,31.78864052,50.89992408,
100872,21,M,High School,Single,$40k - $60k,46000,3/31/2023,3,6100,0.208442456,690,1,0,1,0,1071.588665,30159.03477,0.71178616,25.42997968,0,21.97649753,0,47.40647721,0.05,0.052379326,66.60025955,11.91608191,35.4903953,67.27903582,35.4903953,
100872,21,M,High School,Single,$40k - $60k,46000,4/30/2023,4,6100,0.201108785,690,1,0,1,0,1033.886751,29644.58357,0.679003247,24.53527173,0,21.20329412,0,45.73856585,0.05,0.052287874,64.14485926,-2.455400288,48.19396614,115.473002,48.19396614,
100872,21,M,High School,Single,$40k - $60k,46000,5/31/2023,5,6100,0.191716915,691,1,0,1,0,985.6037783,29033.56642,0.655246187,23.38946359,0,20.21309082,0,43.60255441,0.05,0.052188982,61.03361413,-3.111245129,46.71379954,162.1868015,46.71379954,
100872,21,M,High School,Single,$40k - $60k,46000,6/30/2023,6,6100,0.21632601,690,1,0,1,0,1112.117485,28675.57668,0.720836042,26.39177325,0,22.80767609,0,49.19944934,0.05,0.052451444,69.21433099,8.180716859,41.01873248,203.205534,41.01873248,
100872,21,M,High School,Single,$40k - $60k,46000,7/31/2023,7,6100,0.229694715,689,1,0,1,1,1180.8451,28455.04217,0.769481826,28.02275528,30,0,0,58.02275528,0.15,0.15260704,213.8234861,144.6091552,-86.58639988,116.6191341,-86.58639988,
100872,21,M,High School,Single,$40k - $60k,46000,8/31/2023,8,6100,0.227922098,689,1,0,1,0,1171.732195,28216.28186,0.75083525,27.80649599,0,24.03027443,0,51.83677043,0.05,0.052574212,73.09523082,-140.7282553,192.5650258,309.1841599,192.5650258,
100872,21,M,High School,Single,$40k - $60k,46000,9/30/2023,9,6100,0.2232825,690,1,0,1,0,1147.880334,27929.81782,0.739966191,27.24046505,0,23.54111252,0,50.78157757,0.05,0.052526226,71.54194144,-1.553289375,52.33486694,361.5190268,52.33486694,
100872,21,M,High School,Single,$40k - $60k,46000,10/31/2023,10,6100,0.213557257,690,1,0,1,0,1097.883512,27543.36013,0.712698949,26.05398537,0,22.51576102,0,48.5697464,0.05,0.052421157,68.2890029,-3.252938546,51.82268494,413.3417117,51.82268494,
100872,22,M,High School,Single,$40k - $60k,46000,11/30/2023,11,6100,0.225028131,689,1,0,1,0,1156.854504,27274.84443,0.75555459,27.453432,0,23.72515779,0,51.1785898,0.05,0.05255578,72.14182613,3.852823231,47.32576656,460.6674783,47.32576656,
