Customer ID,Customer Age,Gender,Education,Marital Status,Income Category,Income Numeric,Snapshot Month,Month on Book,Credit_Limit,Utilization,FICO,external_bank_credit_card_max_util_greater_than_50,external_bank_credit_card_max_util_greater_than_90,Credit_Inquiries,Delinquency,Revolving_Bal,Total_Debt,Debt_to_Income_Ratio,Interchange Fee,Late_Fee_Revenue,Monthly_Interest_Revenue,Annual_Fee,Total Revenue,Delinquency_Weight,ECL Ratio,ECL,ECL MoM Charge,Profit,Cumulative Profit,MoM Cumulative Profit Change
105383,32,M,College,Single,$100k to $120k,112500.0,2017-07-31,1,13100,0.1897459219044406,751.0,0,0,0,0,0.0,12625.446799884377,0.03239083369092894,49.713431538963434,0,0.0,0,49.713431538963434,0.05,0.05,124.28357884740859,124.28357884740859,-74.57014730844516,-74.57014730844516,-74.57014730844516
105383,32,M,College,Single,$100k to $120k,112500.0,2017-08-31,2,13100,0.13273545089790323,753.0,0,0,0,0,0.0,12321.782734031918,0.03239083369092894,34.776688135250645,0,0.0,0,34.776688135250645,0.05,0.05,86.94172033812661,-37.34185850928198,72.11854664453261,-2.4516006639125436,72.11854664453261
105383,32,M,College,Single,$100k to $120k,112500.0,2017-09-30,3,13100,0.1921401611680013,751.0,0,0,0,0,0.0,12018.11866817946,0.03239083369092894,50.34072222601634,0,0.0,0,50.34072222601634,0.05,0.05,125.85180556504086,38.91008522691425,11.430636999102092,8.979036335189548,11.430636999102092
105383,32,M,College,Single,$100k to $120k,112500.0,2017-10-31,4,13100,0.15154887621109236,752.0,0,0,0,0,0.0,11714.454602327001,0.03239083369092894,39.7058055673062,0,0.0,0,39.7058055673062,0.05,0.05,99.2645139182655,-26.58729164677537,66.29309721408157,75.27213354927112,66.29309721408157
105383,32,M,College,Single,$100k to $120k,112500.0,2017-11-30,5,13100,0.14560483393220694,753.0,0,0,0,0,0.0,11410.790536474542,0.03239083369092894,38.14846649023822,0,0.0,0,38.14846649023822,0.05,0.05,95.37116622559554,-3.8933476926699484,42.04181418290817,117.31394773217929,42.04181418290817
105383,32,M,College,Single,$100k to $120k,112500.0,2017-12-31,6,13100,0.1829419579753196,751.0,0,0,0,0,0.0,11107.126470622083,0.03239083369092894,47.93079298953373,0,0.0,0,47.93079298953373,0.05,0.05,119.82698247383433,24.45581624823879,23.474976741294938,140.78892447347422,23.474976741294938
105383,33,M,College,Single,$100k to $120k,112500.0,2018-01-31,7,13100,0.17189711805537927,752.0,0,0,0,0,0.0,10803.462404769625,0.03239083369092894,45.037044930509374,0,0.0,0,45.037044930509374,0.05,0.05,112.59261232627343,-7.2343701475609095,52.271415078070284,193.0603395515445,52.27141507807028
105383,33,M,College,Single,$100k to $120k,112500.0,2018-02-28,8,13100,0.1857432605493804,751.0,0,0,0,0,0.0,10499.798338917166,0.03239083369092894,48.66473426393766,0,0.0,0,48.66473426393766,0.05,0.05,121.66183565984416,9.069223333570733,39.59551093036693,232.65585048191144,39.59551093036694
105383,33,M,College,Single,$100k to $120k,112500.0,2018-03-31,9,13100,0.147547124887588,753.0,0,0,0,0,0.0,10196.134273064707,0.03239083369092894,38.657346720548055,0,0.0,0,38.657346720548055,0.05,0.05,96.64336680137015,-25.01846885847401,63.675815579022064,296.3316660609335,63.67581557902207
105383,33,M,College,Single,$100k to $120k,112500.0,2018-04-30,10,13100,0.1652737457582649,752.0,0,0,0,0,0.0,9892.470207212249,0.03239083369092894,43.3017213886654,0,0.0,0,43.3017213886654,0.05,0.05,108.2543034716635,11.610936670293356,31.690784718372043,328.0224507793056,31.690784718372072
